act_role,eng_title,evaluation_num,movie_link,quote,ranking,rating_num,title
"
                            导演: 刘镇伟 Jeffrey Lau???主演: 梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri...",?/?射鵰英雄傳之東成西就,311173人评价,https://movie.douban.com/subject/1316510/,百看不厌。 ,96,8.7,射雕英雄传之东成西就
,,,,,,,
"
                            导演: 戈尔·维宾斯基 Gore Verbinski???主演: 约翰尼·德普 Johnny Depp / ...",?/?Pirates of the Caribbean: The Curse of the Black Pearl,396558人评价,https://movie.douban.com/subject/1298070/,约翰尼·德普的独角戏。,97,8.6,加勒比海盗
,,,,,,,
"
                            导演: 马克·赫门 Mark Herman???主演: 阿沙·巴特菲尔德 Asa Butterfield / ...",?/?The Boy in the Striped Pajamas,177287人评价,https://movie.douban.com/subject/3008247/,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,98,8.9,穿条纹睡衣的男孩
,,,,,,,
"
                            导演: 中岛哲也 Tetsuya Nakashima???主演: 松隆子 Takako Matsu / 冈田将生 ...",?/?自白  /  母亲,385590人评价,https://movie.douban.com/subject/4268598/,没有一人完全善，也没有一人完全恶。,99,8.7,告白
,,,,,,,
"
                            导演: 杨德昌 Edward Yang???主演: 吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...",?/?Yi yi  /  Yi yi: A One and a Two,174655人评价,https://movie.douban.com/subject/1292434/,我们都曾经是一一。,100,8.9,一一
,,,,,,,
"
                            导演: 姜炯哲 Hyeong-Cheol Kang???主演: 沈恩京 Eun-kyung Shim / 闵孝琳 Hy...",?/???,304344人评价,https://movie.douban.com/subject/4917726/,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,101,8.8,阳光姐妹淘
,,,,,,,
"
                            导演: 查理·卓别林 Charles Chaplin???主演: 查理·卓别林 Charles Chaplin ...",?/?Modern Times,105048人评价,https://movie.douban.com/subject/1294371/,大时代中的人生，小人物的悲喜。,102,9.2,摩登时代
,,,,,,,
"
                            导演: 詹姆斯·卡梅隆 James Cameron???主演: 萨姆·沃辛顿 Sam Worthington ...",?/?Avatar,597629人评价,https://movie.douban.com/subject/1652587/,绝对意义上的美轮美奂。,103,8.6,阿凡达
,,,,,,,
"
                            导演: Kátia Lund / Fernando Meirelles???主演: Alexandre Rodrigues / Lea...",?/?Cidade de Deus,172832人评价,https://movie.douban.com/subject/1292208/,被上帝抛弃了的上帝之城。,104,8.9,上帝之城
,,,,,,,
"
                            导演: 理查德·林克莱特 Richard Linklater???主演: 伊桑·霍克 Ethan Hawke ...",?/?Before Sunrise,251502人评价,https://movie.douban.com/subject/1296339/,缘分是个连绵词，最美不过一瞬。,105,8.7,爱在黎明破晓前
,,,,,,,
"
                            导演: 大卫·芬奇 David Fincher???主演: 本·阿弗莱克 Ben Affleck / 罗莎蒙...",?/?Gone Girl,408663人评价,https://movie.douban.com/subject/21318488/,年度最佳date movie。,106,8.7,消失的爱人
,,,,,,,
